Date,Open,High,Low,Close
06/16/2021,"826.36","826.36","826.36","826.36"
06/15/2021,"819.13","819.13","819.13","819.13"
06/14/2021,"837.39","837.39","837.39","837.39"
06/11/2021,"832.71","832.71","832.71","832.71"
06/10/2021,"831.62","831.62","831.62","831.62"
06/09/2021,"824.44","824.44","824.44","824.44"
06/08/2021,"832.31","832.31","832.31","832.31"
06/07/2021,"833.88","833.88","833.88","833.88"
06/04/2021,"828.45","828.45","828.45","828.45"
06/03/2021,"801.57","801.57","801.57","801.57"
06/02/2021,"822.86","822.86","822.86","822.86"
06/01/2021,"841.88","841.88","841.88","841.88"
05/31/2021,"841.19","841.19","841.19","841.19"
05/28/2021,"841.19","841.19","841.19","841.19"
05/27/2021,"849.67","849.67","849.67","849.67"
05/26/2021,"829.27","829.27","829.27","829.27"
05/25/2021,"805.87","805.87","805.87","805.87"
05/24/2021,"808.95","808.95","808.95","808.95"
05/21/2021,"784.05","784.05","784.05","784.05"
05/20/2021,"783.70","783.70","783.70","783.70"
05/19/2021,"757.55","757.55","757.55","757.55"
05/18/2021,"773.61","773.61","773.61","773.61"
05/17/2021,"773.20","773.20","773.20","773.20"
05/14/2021,"784.06","784.06","784.06","784.06"
05/13/2021,"760.99","760.99","760.99","760.99"
05/12/2021,"777.11","777.11","777.11","777.11"
05/11/2021,"810.76","810.76","810.76","810.76"
05/10/2021,"826.84","826.84","826.84","826.84"
05/07/2021,"875.68","875.68","875.68","875.68"
05/06/2021,"865.42","865.42","865.42","865.42"
05/05/2021,"870.56","870.56","870.56","870.56"
05/04/2021,"868.12","868.12","868.12","868.12"
05/03/2021,"884.35","884.35","884.35","884.35"
04/30/2021,"909.52","909.52","909.52","909.52"
04/29/2021,"873.23","873.23","873.23","873.23"
04/28/2021,"901.17","901.17","901.17","901.17"
04/27/2021,"912.84","912.84","912.84","912.84"
04/26/2021,"945.05","945.05","945.05","945.05"
04/23/2021,"934.39","934.39","934.39","934.39"
04/22/2021,"921.30","921.30","921.30","921.30"
04/21/2021,"946.96","946.96","946.96","946.96"
04/20/2021,"916.05","916.05","916.05","916.05"
04/19/2021,"918.24","918.24","918.24","918.24"
04/16/2021,"945.71","945.71","945.71","945.71"
04/15/2021,"944.64","944.64","944.64","944.64"
04/14/2021,"937.57","937.57","937.57","937.57"
04/13/2021,"968.81","968.81","968.81","968.81"
04/12/2021,"909.06","909.06","909.06","909.06"
04/09/2021,"884.61","884.61","884.61","884.61"
04/08/2021,"891.25","891.25","891.25","891.25"
04/07/2021,"880.30","880.30","880.30","880.30"
04/06/2021,"904.84","904.84","904.84","904.84"
04/05/2021,"901.49","901.49","901.49","901.49"
04/02/2021,"862.38","862.38","862.38","862.38"
04/01/2021,"862.38","862.38","862.38","862.38"
