,date,numTweets,replies_count,replies_average,retweets_count,retweets_average,likes_count,likes_average
164,2021-11-15,17,56227,3307.470588,71747,4220.411765,675337,39725.70588
165,2021-11-14,5,53856,10771.2,48557,9711.4,488821,97764.2
166,2021-11-13,18,59580,3310,57894,3216.333333,755907,41994.83333
167,2021-11-12,5,4850,970,5060,1012,96253,19250.6
168,2021-11-11,1,1547,1547,836,836,17502,17502
169,2021-11-10,7,6340,905.7142857,4126,589.4285714,82197,11742.42857
170,2021-11-09,7,39011,5573,16862,2408.857143,341179,48739.85714
171,2021-11-08,11,16176,1470.545455,19388,1762.545455,222937,20267
172,2021-11-07,7,18128,2589.714286,6588,941.1428571,111573,15939
173,2021-11-06,8,95683,11960.375,38961,4870.125,454377,56797.125
174,2021-11-05,3,2688,896,3750,1250,50835,16945
175,2021-11-04,10,13678,1367.8,13144,1314.4,258874,25887.4
176,2021-11-03,10,63276,6327.6,42775,4277.5,550526,55052.6
177,2021-11-02,5,46837,9367.4,32744,6548.8,313854,62770.8
178,2021-11-01,22,28416,1291.636364,37727,1714.863636,416447,18929.40909
179,2021-10-31,7,48823,6974.714286,101013,14430.42857,797639,113948.4286
180,2021-10-30,4,4740,1185,3915,978.75,73766,18441.5
181,2021-10-29,15,79215,5281,71777,4785.133333,1157113,77140.86667
182,2021-10-28,18,23236,1290.888889,24577,1365.388889,231613,12867.38889
183,2021-10-27,3,13277,4425.666667,7304,2434.666667,72422,24140.66667
184,2021-10-26,16,17845,1115.3125,15170,948.125,216999,13562.4375
185,2021-10-25,15,74041,4936.066667,50826,3388.4,720863,48057.53333
186,2021-10-24,14,29674,2119.571429,27130,1937.857143,220062,15718.71429
187,2021-10-23,3,10175,3391.666667,7065,2355,81194,27064.66667
188,2021-10-22,21,29560,1407.619048,37073,1765.380952,507804,24181.14286
189,2021-10-21,11,36376,3306.909091,86581,7871,809694,73608.54545
190,2021-10-20,8,4742,592.75,5888,736,70886,8860.75
191,2021-10-19,7,47695,6813.571429,140133,20019,1105283,157897.5714
192,2021-10-18,9,84869,9429.888889,73916,8212.888889,692942,76993.55556
193,2021-10-17,6,7019,1169.833333,6394,1065.666667,116948,19491.33333
194,2021-10-16,2,5734,2867,4685,2342.5,93768,46884
195,2021-10-15,7,6168,881.1428571,2876,410.8571429,64296,9185.142857
196,2021-10-14,18,30001,1666.722222,55571,3087.277778,580446,32247
197,2021-10-13,7,5371,767.2857143,5030,718.5714286,115179,16454.14286
198,2021-10-12,6,12355,2059.166667,10111,1685.166667,140070,23345
199,2021-10-11,14,13352,953.7142857,14995,1071.071429,220476,15748.28571
200,2021-10-10,9,5275,586.1111111,3803,422.5555556,87709,9745.444444
201,2021-10-09,5,10821,2164.2,6171,1234.2,134955,26991
202,2021-10-08,7,18473,2639,11844,1692,219823,31403.28571
203,2021-10-07,12,30211,2517.583333,11966,997.1666667,168922,14076.83333
204,2021-10-06,1,949,949,158,158,3498,3498
205,2021-10-05,1,3486,3486,2321,2321,57427,57427
206,2021-10-04,4,38811,9702.75,37188,9297,437400,109350
207,2021-10-03,11,14471,1315.545455,10686,971.4545455,122381,11125.54545
208,2021-10-02,5,18434,3686.8,22139,4427.8,362053,72410.6
209,2021-10-01,2,7788,3894,5078,2539,56289,28144.5
210,2021-09-30,6,5296,882.6666667,3516,586,88762,14793.66667
211,2021-09-29,4,1937,484.25,2092,523,23643,5910.75
212,2021-09-28,11,9203,836.6363636,5036,457.8181818,92909,8446.272727
213,2021-09-27,3,2770,923.3333333,2486,828.6666667,47008,15669.33333
214,2021-09-26,8,3928,491,2635,329.375,107619,13452.375
215,2021-09-25,7,10420,1488.571429,6130,875.7142857,97029,13861.28571
216,2021-09-24,4,21873,5468.25,54313,13578.25,765066,191266.5
217,2021-09-23,4,3176,794,4740,1185,38632,9658
218,2021-09-22,10,3489,348.9,3030,303,57771,5777.1
219,2021-09-21,6,7180,1196.666667,5281,880.1666667,113623,18937.16667
220,2021-09-20,14,7481,534.3571429,4090,292.1428571,94931,6780.785714
221,2021-09-19,10,17237,1723.7,23396,2339.6,307497,30749.7
222,2021-09-18,21,11539,549.4761905,15723,748.7142857,244104,11624
223,2021-09-17,11,14270,1297.272727,11297,1027,132302,12027.45455
224,2021-09-16,7,13946,1992.285714,12938,1848.285714,290653,41521.85714
225,2021-09-15,1,8292,8292,8252,8252,110045,110045
226,2021-09-14,4,3328,832,2907,726.75,42697,10674.25
227,2021-09-13,19,36805,1937.105263,43048,2265.684211,702788,36988.84211
228,2021-09-12,6,8594,1432.333333,22523,3753.833333,248681,41446.83333
229,2021-09-11,11,6008,546.1818182,6255,568.6363636,148135,13466.81818
230,2021-09-10,11,20159,1832.636364,20843,1894.818182,323829,29439
231,2021-09-09,12,5514,459.5,5560,463.3333333,135184,11265.33333
