time,open,high,low,close,Volume,Volume MA,HV
1625751000,628.37,654.43,620.46,652.81,22773316,23489266.45,36.35999713
1625837400,653.185,658.91,644.69,656.95,18140548,23200313.55,29.20788782
1626096600,662.2,687.24,662.161,685.7,25927042,23686400.5,38.72744467
1626183000,686.32,693.28,666.2958,668.54,20966092,23713505.95,38.64179669
1626269400,670.75,678.6099,652.84,653.38,21641190,23907358.2,40.08325835
1626355800,658.39,666.14,637.88,650.6,20209571,23810630.4,40.05049518
1626442200,654.68,656.6999,642.2,644.22,16370970,23494111.4,40.14932286
1626701400,629.89,647.1999,621.29,646.22,21297090,23330920.65,40.25884181
1626787800,651.99,662.3916,640.501,660.5,15487127,22864639.95,39.74518608
1626874200,659.61,664.8599,650.2901,655.29,13953338,22604362.25,37.4369006
1626960600,656.4428,662.17,644.6001,649.26,15105727,21804687.2,37.19759777
1627047000,646.36,648.8,637.3001,643.38,14604944,20235815.1,37.20844527
1627306200,650.97,668.1999,647.11,657.62,25336556,19877807.55,29.01465565
1627392600,663.4,666.5,627.24,644.78,32813290,20437064.1,27.66467631
1627479000,646.995,654.9699,639.4001,646.98,16006596,20368328.25,24.93581692
1627565400,649.79,683.69,648.8,677.35,30394637,20941817,36.43500126
1627651800,671.758,697.53,669,687.2,29656411,21492911.45,35.70923541
1627911000,700,726.94,698.4,709.67,33615765,21818831,38.49102592
1627997400,719,722.65,701.01,709.74,21620253,21735621.15,37.9298875
1628083800,711,724.9,708.93,710.92,17002647,21646155.5,36.92095319
1628170200,716,720.9499,711.41,714.63,12919637,21153471.55,35.33102315
1628256600,711.9,716.33,697.63,699.1,15623049,21027596.6,38.44959111
1628515800,710.17,719.03,705.13,713.76,14715349,20467011.95,38.30800509
1628602200,713.99,716.59,701.88,709.99,13432305,20090322.6,35.24185911
1628688600,712.71,715.18,704.21,707.82,9800558,19498291,35.84872683
1628775000,706.34,722.8,699.4,722.25,17681686,19371896.75,28.46375194
1628861400,723.71,729.9,714.34,717.17,16731467,19389921.6,28.91611157
1629120600,705.07,709.5,676.4,686.17,23103303,19480232.25,34.58446993
1629207000,672.66,674.58,648.84,665.71,23721279,19891939.85,37.71243534
1629293400,669.7479,695.77,669.35,688.99,20349375,20211741.7,44.34340283
1629379800,678.21,686.55,667.59,673.47,14313486,20172129.65,45.31337719
1629466200,682.85,692.1299,673.7,680.26,14841865,20183975.7,44.88920988
1629725400,685.442,712.1299,680.7505,706.3,20264859,19930390.85,48.95011748
1629811800,710.68,715.22,702.64,708.49,13083071,18943879.9,48.92076618
1629898200,707.03,716.97,704,711.2,12645562,18775828.2,48.93338453
1629984600,708.31,715.4,697.6201,701.16,13214292,17916810.95,47.83688143
1630071000,705,715,702.1001,711.92,13833763,17125678.55,48.83568977
1630330200,714.715,731,712.73,730.91,18604220,16375101.3,42.20822948
1630416600,733,740.39,726.44,735.72,20855436,16336860.45,35.26232833
1630503000,734.08,741.99,731.2701,734.09,13204335,16146944.85,32.12816167
1630589400,734.5,740.97,730.54,732.39,12796739,16140799.95,27.10549371
1630675800,732.2494,734,724.2,733.57,15271045,16123199.75,27.34768432
1631021400,740,760.2,739.26,752.92,20039825,16389423.55,23.21429696
1631107800,761.58,764.45,740.7733,753.87,18793036,16657460.1,23.33290757
1631194200,753.41,762.1,751.6301,754.86,14077731,16871318.75,23.47038306
1631280600,759.6,762.61,734.5201,736.27,15184170,16746442.95,27.3211847
1631539800,740.2143,744.78,708.85,743,22952482,17057493.7,26.69278196
1631626200,742.57,754.47,736.4,744.49,18524881,16828572.6,22.70026671
1631712600,745,756.86,738.36,755.83,15357685,16410392.9,23.85029447
1631799000,752.83,758.91,747.61,756.99,13923393,16089093.8,23.66432899
1631885400,757.15,761.04,750,759.49,28204176,16783628.3,23.41501008
1632144600,734.5577,742,718.6249,730.17,24757652,17279417.65,34.06548274
1632231000,734.79,744.7399,730.44,739.38,16330723,17082710.85,30.9701401
1632317400,743.5263,753.6699,739.12,751.94,15126272,17184870.9,32.77062435
1632403800,755,758.2,747.92,753.64,11947527,17149969.15,32.79162922
1632490200,745.89,774.8,744.56,774.39,21373022,17557905.65,32.01089453
1632749400,773.12,799,769.31,791.36,28070657,18269750.35,33.37467663
