"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 18, 2019","65,500.00","65,500.00","67,000.00","64,000.00","-","0.00%"
"Mar 15, 2019","65,500.00","65,500.00","67,000.00","64,000.00","-","0.00%"
"Mar 14, 2019","65,500.00","65,500.00","67,000.00","64,000.00","-","0.00%"
"Mar 13, 2019","65,500.00","65,500.00","67,000.00","64,000.00","-","0.00%"
"Mar 12, 2019","65,500.00","65,500.00","67,000.00","64,000.00","-","-1.50%"
"Mar 11, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"Mar 08, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","-1.48%"
"Mar 07, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Mar 06, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Mar 05, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Mar 04, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Mar 01, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","-1.46%"
"Feb 28, 2019","68,500.00","68,500.00","70,000.00","67,000.00","-","0.00%"
"Feb 27, 2019","68,500.00","68,500.00","70,000.00","67,000.00","-","0.00%"
"Feb 26, 2019","68,500.00","68,500.00","70,000.00","67,000.00","-","0.00%"
"Feb 25, 2019","68,500.00","68,500.00","70,000.00","67,000.00","-","0.00%"
"Feb 22, 2019","68,500.00","68,500.00","70,000.00","67,000.00","-","0.00%"
"Feb 21, 2019","68,500.00","68,500.00","70,000.00","67,000.00","-","0.00%"
"Feb 20, 2019","68,500.00","68,500.00","70,000.00","67,000.00","-","0.00%"
"Feb 19, 2019","68,500.00","68,500.00","70,000.00","67,000.00","-","1.48%"
"Feb 18, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Feb 15, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Feb 14, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Feb 13, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Feb 12, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Feb 11, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Feb 01, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Jan 31, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Jan 30, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Jan 29, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Jan 28, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Jan 25, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Jan 24, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Jan 23, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Jan 22, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Jan 21, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Jan 18, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Jan 17, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Jan 16, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","0.00%"
"Jan 15, 2019","67,500.00","67,500.00","69,000.00","66,000.00","-","-1.46%"
"Jan 14, 2019","68,500.00","68,500.00","70,000.00","67,000.00","-","0.00%"
"Jan 11, 2019","68,500.00","68,500.00","70,000.00","67,000.00","-","0.00%"
"Jan 10, 2019","68,500.00","68,500.00","70,000.00","67,000.00","-","0.00%"
"Jan 09, 2019","68,500.00","68,500.00","70,000.00","67,000.00","-","0.00%"
"Jan 08, 2019","68,500.00","68,500.00","70,000.00","67,000.00","-","0.00%"
"Jan 07, 2019","68,500.00","68,500.00","70,000.00","67,000.00","-","0.00%"
"Jan 03, 2019","68,500.00","68,500.00","70,000.00","67,000.00","-","0.00%"
"Jan 02, 2019","68,500.00","68,500.00","70,000.00","67,000.00","-","0.00%"
"Dec 28, 2018","68,500.00","68,500.00","70,000.00","67,000.00","-","0.00%"
"Dec 27, 2018","68,500.00","68,500.00","70,000.00","67,000.00","-","0.00%"
"Dec 26, 2018","68,500.00","68,500.00","70,000.00","67,000.00","-","0.00%"
"Dec 25, 2018","68,500.00","68,500.00","70,000.00","67,000.00","-","0.00%"
"Dec 24, 2018","68,500.00","68,500.00","70,000.00","67,000.00","-","-1.44%"
"Dec 21, 2018","69,500.00","69,500.00","71,000.00","68,000.00","-","0.00%"
"Dec 20, 2018","69,500.00","69,500.00","71,000.00","68,000.00","-","0.00%"
"Dec 19, 2018","69,500.00","69,500.00","71,000.00","68,000.00","-","-0.71%"
"Dec 18, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Dec 17, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Dec 14, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Dec 13, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Dec 12, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Dec 11, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Dec 10, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Dec 07, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Dec 06, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Dec 05, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Dec 04, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Dec 03, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Nov 30, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Nov 29, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Nov 28, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Nov 27, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Nov 26, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Nov 23, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Nov 22, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Nov 21, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Nov 20, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Nov 19, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Nov 16, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Nov 15, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Nov 14, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Nov 13, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Nov 12, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Nov 09, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Nov 08, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Nov 07, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Nov 06, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Nov 05, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Nov 02, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","0.00%"
"Nov 01, 2018","70,000.00","70,000.00","72,000.00","68,000.00","-","1.45%"
"Oct 31, 2018","69,000.00","69,000.00","71,000.00","67,000.00","-","0.00%"
"Oct 30, 2018","69,000.00","69,000.00","71,000.00","67,000.00","-","1.47%"
"Oct 29, 2018","68,000.00","68,000.00","70,000.00","66,000.00","-","0.00%"
"Oct 26, 2018","68,000.00","68,000.00","70,000.00","66,000.00","-","0.00%"
"Oct 25, 2018","68,000.00","68,000.00","70,000.00","66,000.00","-","0.00%"
"Oct 24, 2018","68,000.00","68,000.00","70,000.00","66,000.00","-","0.00%"
"Oct 23, 2018","68,000.00","68,000.00","70,000.00","66,000.00","-","0.00%"
"Oct 22, 2018","68,000.00","68,000.00","70,000.00","66,000.00","-","0.00%"
"Oct 19, 2018","68,000.00","68,000.00","70,000.00","66,000.00","-","0.00%"
"Oct 18, 2018","68,000.00","68,000.00","70,000.00","66,000.00","-","0.00%"
"Oct 17, 2018","68,000.00","68,000.00","70,000.00","66,000.00","-","0.00%"
"Oct 16, 2018","68,000.00","68,000.00","70,000.00","66,000.00","-","0.00%"
"Oct 15, 2018","68,000.00","68,000.00","70,000.00","66,000.00","-","0.00%"
"Oct 12, 2018","68,000.00","68,000.00","70,000.00","66,000.00","-","0.00%"
"Oct 11, 2018","68,000.00","68,000.00","70,000.00","66,000.00","-","0.00%"
"Oct 10, 2018","68,000.00","68,000.00","70,000.00","66,000.00","-","-2.16%"
"Oct 09, 2018","69,500.00","69,500.00","72,000.00","67,000.00","-","-2.11%"
"Oct 08, 2018","71,000.00","71,000.00","74,000.00","68,000.00","-","0.00%"
"Sep 28, 2018","71,000.00","71,000.00","74,000.00","68,000.00","-","0.00%"
"Sep 27, 2018","71,000.00","71,000.00","74,000.00","68,000.00","-","0.00%"
"Sep 26, 2018","71,000.00","71,000.00","74,000.00","68,000.00","-","0.00%"
"Sep 25, 2018","71,000.00","71,000.00","74,000.00","68,000.00","-","0.00%"
"Sep 21, 2018","71,000.00","71,000.00","74,000.00","68,000.00","-","0.00%"
"Sep 20, 2018","71,000.00","71,000.00","74,000.00","68,000.00","-","-2.07%"
"Sep 19, 2018","72,500.00","72,500.00","76,000.00","69,000.00","-","0.00%"
"Sep 18, 2018","72,500.00","72,500.00","76,000.00","69,000.00","-","-1.36%"
"Sep 17, 2018","73,500.00","73,500.00","77,000.00","70,000.00","-","-1.34%"
"Sep 14, 2018","74,500.00","74,500.00","78,000.00","71,000.00","-","0.00%"
"Sep 13, 2018","74,500.00","74,500.00","78,000.00","71,000.00","-","0.00%"
