Date,Price,Open,High,Low,Change %
25-Nov-19,"46,500.00","46,500.00","48,000.00","45,000.00",-0.0106
22-Nov-19,"47,000.00","47,000.00","48,500.00","45,500.00",0
21-Nov-19,"47,000.00","47,000.00","48,500.00","45,500.00",0
20-Nov-19,"47,000.00","47,000.00","48,500.00","45,500.00",-0.0105
19-Nov-19,"47,500.00","47,500.00","49,000.00","46,000.00",0
18-Nov-19,"47,500.00","47,500.00","49,000.00","46,000.00",-0.0104
15-Nov-19,"48,000.00","48,000.00","49,500.00","46,500.00",-0.0103
14-Nov-19,"48,500.00","48,500.00","50,000.00","47,000.00",0
13-Nov-19,"48,500.00","48,500.00","50,000.00","47,000.00",0
12-Nov-19,"48,500.00","48,500.00","50,000.00","47,000.00",0
11-Nov-19,"48,500.00","48,500.00","50,000.00","47,000.00",0
8-Nov-19,"48,500.00","48,500.00","50,000.00","47,000.00",0
7-Nov-19,"48,500.00","48,500.00","50,000.00","47,000.00",0
6-Nov-19,"48,500.00","48,500.00","50,000.00","47,000.00",0
5-Nov-19,"48,500.00","48,500.00","50,000.00","47,000.00",0
4-Nov-19,"48,500.00","48,500.00","50,000.00","47,000.00",0
1-Nov-19,"48,500.00","48,500.00","50,000.00","47,000.00",0
31-Oct-19,"48,500.00","48,500.00","50,000.00","47,000.00",0
30-Oct-19,"48,500.00","48,500.00","50,000.00","47,000.00",0
29-Oct-19,"48,500.00","48,500.00","50,000.00","47,000.00",-0.0102
28-Oct-19,"49,000.00","49,000.00","50,500.00","47,500.00",-0.0101
25-Oct-19,"49,500.00","49,500.00","51,000.00","48,000.00",0
24-Oct-19,"49,500.00","49,500.00","51,000.00","48,000.00",0
23-Oct-19,"49,500.00","49,500.00","51,000.00","48,000.00",0
22-Oct-19,"49,500.00","49,500.00","51,000.00","48,000.00",0
21-Oct-19,"49,500.00","49,500.00","51,000.00","48,000.00",0
18-Oct-19,"49,500.00","49,500.00","51,000.00","48,000.00",0
17-Oct-19,"49,500.00","49,500.00","51,000.00","48,000.00",0
16-Oct-19,"49,500.00","49,500.00","51,000.00","48,000.00",0
15-Oct-19,"49,500.00","49,500.00","51,000.00","48,000.00",0
14-Oct-19,"49,500.00","49,500.00","51,000.00","48,000.00",0
11-Oct-19,"49,500.00","49,500.00","51,000.00","48,000.00",0
10-Oct-19,"49,500.00","49,500.00","51,000.00","48,000.00",0
9-Oct-19,"49,500.00","49,500.00","51,000.00","48,000.00",0
8-Oct-19,"49,500.00","49,500.00","51,000.00","48,000.00",0
27-Sep-19,"49,500.00","49,500.00","51,000.00","48,000.00",0
26-Sep-19,"49,500.00","49,500.00","51,000.00","48,000.00",0
25-Sep-19,"49,500.00","49,500.00","51,000.00","48,000.00",0
24-Sep-19,"49,500.00","49,500.00","51,000.00","48,000.00",0
23-Sep-19,"49,500.00","49,500.00","51,000.00","48,000.00",0
20-Sep-19,"49,500.00","49,500.00","51,000.00","48,000.00",0
19-Sep-19,"49,500.00","49,500.00","51,000.00","48,000.00",0
18-Sep-19,"49,500.00","49,500.00","51,000.00","48,000.00",0
17-Sep-19,"49,500.00","49,500.00","51,000.00","48,000.00",-0.01
16-Sep-19,"50,000.00","50,000.00","51,500.00","48,500.00",0
12-Sep-19,"50,000.00","50,000.00","51,500.00","48,500.00",0
11-Sep-19,"50,000.00","50,000.00","51,500.00","48,500.00",0
